V4_0,mmm-yy,time,uk-only,geography,cpih1dim1aggid,aggregate
39.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G100000,10.0 Education
77.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G110200,11.2 Accommodation services
106.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120600,12.6 Financial services (nec)
121.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G30200,03.2 Footwear including repairs
46.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40500,"04.5 Electricity , gas and other fuels"
82,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40900,04.9.0 Council Tax and rates
102.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50200,05.2 Household textiles
73.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50600,05.6 Goods and services for routine maintenance
252.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90100,09.1 Audio-visual equipment and related products
71.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90500,"09.5 Books, newspapers and stationery"
39.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S100000,10.0.0 Education
64.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10105,01.1.5 Oils and fats
68.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10106,01.1.6 Fruit
75.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10107,01.1.7 Vegetables including potatoes and tubers
64.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
71.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G10200,01.2 Non-alcoholic beverages
67.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120400,12.4 Social protection
73.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120700,12.7 Other services (nec)
122.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G30100,03.1 Clothing
77.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40100,04.1 Actual rentals for housing
85.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40200,04.2.0 Owner Occupied Housing Costs
76.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40300,04.3 Regular maintenance and repair of the dwelling
67.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G40400,04.4 Water supply and misc. services for the dwelling
81.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50100,"05.1 Furniture, furnishings and carpets"
84.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50400,"05.4 Glassware, tableware and household utensils"
74.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50500,05.5 Tools and equipment for house and garden
59,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G60300,06.3 Hospital services
73.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G70200,07.2 Operation of personal transport equipment
51.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G70300,07.3 Transport services
44.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G80100,08.1 Postal services
90.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G80200,08.2/3 Telephone and telefax equip
79.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90200,9.2 Other major durables for recreation and culture
69.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90400,09.4 Recreational and cultural services
76.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10104,"01.1.4 Milk, cheese and eggs"
73.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
